Subject,Catalog Nbr,Title,Descr,Attribute
AFST,H101,Introduction to African and Africana Studies,"An interdisciplinary introduction to Africana Studies, emphasizing change and response among African peoples in Africa and outside.
Crosslisted: Africana Studies, Independent College Programs",B: Analysis of the Social World
AFST,H112,Race & Racisms in Visual Landscapes: Introduction to African-American Visual Cultures,"This course introduces students to theories and topics which bridge the fields of Visual Studies and Black Studies. We will study visual cultures, performance, and digital media in relation to Blackness, anti-Blackness, and Black communities in the United States. This course pays particular attention to gendered and sexualized understandings of race and racisms within visual planes.
Crosslisted: AFST.
Pre-requisite(s): None","A: Meaning, Interpretation (Texts)"
AFST,H233,Topics in Caribbean Literature: A New Wave,"This course will focus on authors of the Caribbean and its diaspora, engaging fiction, theory, memoir, poetry and drama from the mid-twentieth century through the present. Core themes will include migration, class, colonialism, racial identity, gender and sexuality. 
Crosslisted: English, Africana Studies
Enrollment Limit: 25","A: Meaning, Interpretation (Texts)"
AFST,H233,Topics in Caribbean Literature: A New Wave,"This course will focus on authors of the Caribbean and its diaspora, engaging fiction, theory, memoir, poetry and drama from the mid-twentieth century through the present. Core themes will include migration, class, colonialism, racial identity, gender and sexuality. 
Crosslisted: English, Africana Studies
Enrollment Limit: 25",B: Analysis of the Social World
AFST,H245,"Ethnographies of Africa: Culture, Power and Identity","This course is a historical overview of some classic and contemporary ethnographic studies of Africa. The course focuses on the contribution of social anthropology to our understanding of the history and socio-cultural identities and practices of the people of Africa.
Crosslisted: Anthropology, Africana Studies",B: Analysis of the Social World
AFST,H247,Africana Philosophy,"Africana philosophy has been defined as “as an area of philosophical research that addresses the problems faced and raised by the African diaspora.” (Gordon 2008) Africana philosophy, then, is a modern form of philosophy that oftentimes engages themes and questions that are neglected by Western philosophy. This course will examine philosophical problems raised by African American, Afro-Caribbean, and African philosophy, while engaging major scholars and schools of Africana philosophy.
Crosslisted: AFST.
Pre-requisite(s): One 100-level course in philosophy or consent of instructor.
Enrollment Limit: No Limit","A: Meaning, Interpretation (Texts)"
AFST,H270,Portraits in Black: The Influence and Crucible of African-American Culture,"Tools of literary history used to examine the influence of African-American culture in the United States. Focus on the literary events of the nineteenth and early twentieth century. Emphasis on the authority of African-American culture for U.S. fictions of democracy.
Enrollment Limit: 30","A: Meaning, Interpretation (Texts)"
AFST,H283,"African Politics, African Novels and Film","The study of politics in Africa through African literature. We explore themes including colonial legacies, gender, race and ethnicity, religion and political transition as they are discussed in African literature.
Crosslisted: Political Science, Africana Studies
Prerequisite(s): One previous course in political science or instructor consent
Enrollment Limit: 25
Lottery Preference(s): Political science majors and students concentrating in African and Africana studies",B: Analysis of the Social World
AFST,H308,Blackness in Latin America,"This course offers a historical and cultural approach to blackness in Latin America. Understood as an epistemological discourse and as embodied practices, blackness has been at the center of Latin American identity since colonial times. Taught in Spanish.
Prerequisite(s): 200 level Spanish course
Enrollment Limit: 15","A: Meaning, Interpretation (Texts)"
AFST,H308,Blackness in Latin America,"This course offers a historical and cultural approach to blackness in Latin America. Understood as an epistemological discourse and as embodied practices, blackness has been at the center of Latin American identity since colonial times. Taught in Spanish.
Prerequisite(s): 200 level Spanish course
Enrollment Limit: 15",B: Analysis of the Social World
AFST,H319,"Black Queer Saints: Sex, Gender, Race, Class and the Quest for Liberation","Drawing on fiction, biography, critical theory, film, essays, and memoirs, participants will explore how certain African American artists, activists, and religionists have resisted, represented, and reinterpreted sex, sexuality, and gender norms in the context of capitalist, white supremacist, male supremacist, and heteronormative cultures.
Crosslisted: Africana Studies, Religion
Prerequisite(s): 200-level Humanities course, or instructor consent
Enrollment Limit: 15","A: Meaning, Interpretation (Texts)"
AFST,H319,"Black Queer Saints: Sex, Gender, Race, Class and the Quest for Liberation","Drawing on fiction, biography, critical theory, film, essays, and memoirs, participants will explore how certain African American artists, activists, and religionists have resisted, represented, and reinterpreted sex, sexuality, and gender norms in the context of capitalist, white supremacist, male supremacist, and heteronormative cultures.
Crosslisted: Africana Studies, Religion
Prerequisite(s): 200-level Humanities course, or instructor consent
Enrollment Limit: 15",B: Analysis of the Social World
AFST,H334,Race and Political Economy of Infectious Diseases,"This course explores how race is intertwined with infectious diseases in producing persistent social and health inequalities in the U.S. and abroad. It will examine how human group difference is understood as a given and natural condition despite sociocultural, historical, political, and economic contexts that shape it. It will deal with  incidents demonstrated racialized understanding of the body and racial discrimination and inequalities perpetuated in the context of HIV/AIDS, Tuberculosis, Ebola, Cholera and Covid 19.
Crosslisted: AFST,ANTH.
Pre-requisite(s): None.
Lottery Preference: declared Health Studies minors, then African studies minors or Anthropology majors
Enrollment Limit: 15",B: Analysis of the Social World
AFST,H361,The New Black Arts Movement: Expressive Culture after Nationalism,"While the literature of the Black Arts Movement of the late 1960s and early 1970s has traditionally occupied a more tenuous place in the academy (in comparison with, say, slave narratives or the Harlem Renaissance), its influence as an aesthetic and a political sensibility resonates forcefully in contemporary African American literature and culture. This course will begin with an exploration of the literary achievements of BAM, and then move into contemporary literature and culture, charting the influence of the era. Among others, we will consider the following questions: do contemporary black artists think of themselves as participating in a nationalist movement of any kind? How do they portray and theorize African American identity? For whom do they write and with whom are they fighting? The requirements for this course are several short and informal response papers and three formal essays ranging from 5-10pp.","A: Meaning, Interpretation (Texts)"
AFST,H399,"Topics in Active History: Russian Empire, National Memories and Tales","This course teaches students, in a collaborative setting, the practice of “active history.” This is the dynamic praxis of deep history and nimble historical work as a mode of explaining, explicating and intervening in an urgent and shifting present. Topics will change in response to issues of contemporary import. Students will play a role in collaborative syllabus and curricular design.
Pre-requisite(s): Change depending on topic. For this iteration, none.
Enrollment Limit: 15
Lottery Preference: Change depending on topic. For this iteration, History students, sophomores","A: Meaning, Interpretation (Texts)"
AFST,H399,"Topics in Active History: Russian Empire, National Memories and Tales","This course teaches students, in a collaborative setting, the practice of “active history.” This is the dynamic praxis of deep history and nimble historical work as a mode of explaining, explicating and intervening in an urgent and shifting present. Topics will change in response to issues of contemporary import. Students will play a role in collaborative syllabus and curricular design.
Pre-requisite(s): Change depending on topic. For this iteration, none.
Enrollment Limit: 15
Lottery Preference: Change depending on topic. For this iteration, History students, sophomores",B: Analysis of the Social World
ANTH,H103,Introduction to Anthropology,"An introduction to the basic ideas and methods of social anthropology. Examines major theoretical and ethnographic concerns of the discipline from its origins to the present, such as family and kinship, production and reproduction, history and evolution, symbolism and representation, with particular attention to such issues as race and racism, gender and sexuality, class, and ethnicity.
Prerequisite(s): Not open to students who have completed BMC ANTH 102
Enrollment Limit: 40",B: Analysis of the Social World
ANTH,H106,Sensing Beyond the Human,"This course is an interdisciplinary exploration of the political, social, and historical dimensions that shape human attempts to extend their sensory capacities, usually through a proxy, delegate, or sentinel. It will examine how colonialism, race, gender, sexuality, and surveillance have shaped the human desire to perceive in extraordinary ways.
Pre-requisite(s): None",B: Analysis of the Social World
ANTH,H109,Visual Approaches to Autoethnography,"A visual project-based seminar that introduces students to the concept of autoethnography. A visual approach to autoethnography blends autobiography (cultural memoir), ethnography, and visual expression to interpret human experience. Through discussion-driven presentations, a short selection of readings, and “visual voice” media-making exercises, this course explores how personal reflections, epiphanies, and articulations of an individual’s perspective can serve as a basis for critical, cultural inquiry. Students will create visual vignettes as well as a final project.
Crosslisted: ANTH.
Pre-requisite(s): None
Lottery Preference: Visual studies minors, anthropology majors 
Enrollment Limit: 15",A: Creative Expression
ANTH,H112,The Anthropology of Architecture,"A survey of anthropological approaches to architecture, with a particular interest in how architecture expresses senses of place. Readings will cover indigenous and vernacular architecture, the modernist movement, ecological design, and forms of housing.
Enrollment Limit: 25
Lottery Preference(s): Frosh and Sophomores",B: Analysis of the Social World
ANTH,H202,Among Men: Construction of Masculinities,"A comparative exploration of the socio-cultural politics of gender, with particular reference to masculinity, the course combines an intellectual historical approach, i.e. how the related notions of maleness, manhood and masculinity have featured in the history of social thought, and a thematic focus on issues such as the men's movements, popular culture, queer movement, etc. While the course will be grounded on an anthropological notion of the social basis of power, culture and identity formation, the readings will nonetheless be interdisciplinary -- including historical narratives, literature and film ethnographies (from Africa and the United States) and critical work from fields such as queer, feminist and postcolonial studies.",B: Analysis of the Social World
ANTH,H202,Among Men: Social Construction of Masculinities,"A comparative exploration of the socio-cultural politics of gender, with particular reference to masculinity, the course combines an intellectual historical approach, i.e. how the related notions of maleness, manhood and masculinity have featured in the history of social thought, and a thematic focus on issues such as the men's movements, popular culture, queer movement, etc. While the course will be grounded on an anthropological notion of the social basis of power, culture and identity formation, the readings will nonetheless be interdisciplinary--including historical narratives, literature and film ethnographies (from Africa and the United States) and critical work from fields such as queer, feminist and postcolonial studies.",B: Analysis of the Social World
ANTH,H212,Feminist Ethnography,"This course delves into the historical development and utility of feminist anthropology. Feminist Ethnography is both methodology and method that seeks to explore how gender, race, sexuality, and subjectivity operate in a variety of contexts. We will explore articulations and critiques of feminist ethnographic methods that engage researcher positionality and the politics of research. This course is one part analytic and another part how-to. Participants will read classic and contemporary ethnographies while learning to craft auto-ethnographic research. Prerequisite(s): One ANTH course or instructor consent
Enrollment Limit: 25
Lottery preference(s): Anthropology majors, Gen/Sex and Africana Studies concentrators",B: Analysis of the Social World
ANTH,H217,Methods in Design Anthropology,"An introduction to research methods in Design Anthropology. Readings are drawn from Anthropology, Design, and Science and Technology Studies (STS), and the course will introduce fundamental concepts and methods in STS. Each student will conduct ethnographic research into a design practice of their choice.
Prerequisite(s): An introductory course in Anthropology, Sociology, or Art History, or instructor consent
Enrollment Limit: 15
Lottery Preference(s): Junior or senior Anthropology and Cities majors, then sophomores",B: Analysis of the Social World
ANTH,H219,National Imaginaries of the Middle East and North Africa,"The purpose of the course is to provide a historical and anthropological approach to understanding nation formation in the Middle East. Anchored in major debates on nationalism, this course critically examines both nationalistic imagination and state formations. By focusing on questions of imagined communities, the course will analyze nationalistic discourses and the exclusion of the other who is seen to undermine national purity. It will also approach the nation state as a category of practice, by focusing on laws, monuments, museums, flags, etc. In addition, we will examine transformations in national discourses and practices, historiography, and memory throughout the twentieth century.",B: Analysis of the Social World
ANTH,H222,Human Rights and Culture,"This course offers an overview of the human rights system, looking at its basic elements and studying how it works. At the heart of this course is the question of “culture” and its relation to human rights. We will focus on the tensions and translations between human rights and culture and between global ideas and practices and local ones. The goal of the course is developing an understanding of human rights in practice and theorizing the intersections between social fields thought of as global and local. 
Crosslisted: Anthropology; Peace, Justice and Human Rights
Prerequisite(s): Intro to Anthropology OR Intro to PJHR
Enrollment Limit: 15",B: Analysis of the Social World
ANTH,H228,"Reproductive Justice, Social Movements, and Civil Society","An exploration of ethnographic approaches to women’s reproductive justice issues, as well as look at reproduction in the broader structural (socioeconomic and political) contexts in which it is situated. We will focus on specific topics such as abortion, contraception, sterilization, sexually transmitted diseases (STDs) and how these issues are connected to other social justice issues such as poverty, environmentalism, and welfare reform.
Prerequisite(s): ANTH 103
Enrollment Limit: 15
Lottery Preference(s): Anthropology Majors",B: Analysis of the Social World
ANTH,H229,Chicana Ethnography,"The insurgent projects of Ethnic Studies and Chicana/o Studies during the 1960s/1970s questioned the ethnographic authority of anthropologists and sociologists in the United States and abroad. Beginning with a brief historical overview of Mexican American women in the U.S. we will consider the emergence of Chicana feminism and examine the genesis of the term, ""Chicana"" as it was developed and used during El Movimiento in the early 1970’s. Then move into contemporary ethnographic explorations of identity including race, regional difference, and community organizing. Course participants will gain the ability to recognize the interplay of social processes on the development of identity, especially within U.S. cultural institutions. We will focus on what makes Chicana ethnography unique to other forms of ethnographic writings? What methodological and technological tools are used by Chicana ethnographers? What are the politics in conducting ethnographic research?
Prerequisite(s): Introduction to Anthropology or consent of instructor",B: Analysis of the Social World
ANTH,H233,Decolonizing Visual Anthropology,"This is a hybrid video production and theory course which grapples with the entanglements between ethnographic film/documentary and colonial structures of power. We will bring a decolonizing lens to explore—through texts, screenings, and making films—major modalities in the field including sensory ethnography, indigenous media, and feminist experimental film.
Crosslisted: Visual Studies, Anthropology
Prerequisite(s): Sophomore standing
Enrollment Limit: 15
Lottery Preference(s): Visual Studies minors and Anthropology majors/minors","A: Meaning, Interpretation (Texts)"
ANTH,H233,Decolonizing Visual Anthropology,"This is a hybrid video production and theory course which grapples with the entanglements between ethnographic film/documentary and colonial structures of power. We will bring a decolonizing lens to explore—through texts, screenings, and making films—major modalities in the field including sensory ethnography, indigenous media, and feminist experimental film.
Crosslisted: Visual Studies, Anthropology
Prerequisite(s): Sophomore standing
Enrollment Limit: 15
Lottery Preference(s): Visual Studies minors and Anthropology majors/minors",B: Analysis of the Social World
ANTH,H238,Visualizing Border/lands,"This course attends to the visual representations of the border, including film and photography, but also text and sound. Students will engage in their own creative and visual representations around the theme of borders for the final course assignment.
Enrollment Limit: 15
Lottery Preference(s): Anthropology Majors and Visual Studies Minors","A: Meaning, Interpretation (Texts)"
ANTH,H245,"Ethnographies of Africa: Culture, Power and Identity","This course is a historical overview of some classic and contemporary ethnographic studies of Africa. The course focuses on the contribution of social anthropology to our understanding of the history and socio-cultural identities and practices of the people of Africa.
Crosslisted: Anthropology, Africana Studies",B: Analysis of the Social World
ANTH,H250,"Reading Mexico, Reading Ethnography","This course examines the ethnography of contemporary Mexico, focusing upon themes such as gender, ethnic, and class inequality; social movements and protest; nationalism and popular culture; and urbanization and migration. Class will begin by exploring various approaches to reading, writing, and analyzing ethnographic texts; through deep reading of select ethnographies, we will examine the relationships between power, culture, and identity in Mexico while assessing current trends in anthropological fieldwork and ethnographic writing.
Enrollment Limit: 15
Prerequisite(s): ANTH 103",B: Analysis of the Social World
ANTH,H253,Anthropology of the Middle East and North Africa,"This course surveys anthropological approaches to the Middle East and North Africa, with a focus on themes of representation. In addition, we will explore questions of gender, religion, nation-state, colonialism, tribes, subject formation, and sexuality. We will examine a range of critical methodologies applying them to a variety of ethnographic sources that anthropologists have been using in their studies, namely archives, fieldwork, poetry, memorials, science and technology.
Prerequisite(s): One 100-level course in anthropology, political science, sociology, or history
Enrollment Limit: 25",B: Analysis of the Social World
ANTH,H258,Indigenous Peoples and the Politics of Representation,"This course will explore the topic of culture and identity through a specific interest in the politics of indigeneity. We will pursue two lines of inquiry: 1) how the politics of indigeneity reveal, extend, and undermine the logics of liberal multiculturalism, in diverse ways stemming from diverse histories; and 2) how the politics of indigeneity may unsettle Anthropology as a discipline and demand “decolonizing methodologies.”",B: Analysis of the Social World
ANTH,H262,After the Sunset: Lessons in Transition to Peace - The South African Example,"This course will give students an opportunity to engage with issues, theories and methodologies of nonviolent and violent struggles, peace negotiations, transitional justice, post conflict reconstruction and peacebuilding by looking at South Africa as a case study. It will also look at the role played by Quakers in ending the conflict and supporting a negotiated process.",B: Analysis of the Social World
